epoch,loss
0,3239.828369140625
1,2461.435302734375
2,2177.4638671875
3,1996.5933837890625
4,1882.5643310546875
5,1795.6597900390625
6,1736.6710205078125
7,1695.18359375
8,1657.5330810546875
9,1632.753662109375
10,1606.749755859375
11,1590.57666015625
12,1575.355224609375
13,1560.3460693359375
14,1548.226318359375
15,1537.708740234375
16,1526.8101806640625
17,1518.7042236328125
18,1511.1092529296875
19,1506.6893310546875
20,1494.860107421875
21,1490.4813232421875
22,1485.6505126953125
23,1479.005615234375
24,1473.2806396484375
