epoch,loss
0,2511.016845703125
1,1945.525634765625
2,1715.17822265625
3,1554.503173828125
4,1441.973876953125
5,1361.5345458984375
6,1299.146728515625
7,1254.6943359375
8,1218.4150390625
9,1192.7183837890625
10,1166.5179443359375
11,1149.866943359375
12,1135.21533203125
13,1116.7044677734375
14,1108.923095703125
15,1096.3966064453125
16,1088.3726806640625
17,1077.8665771484375
18,1071.0126953125
19,1065.908447265625
20,1056.4847412109375
21,1051.4466552734375
22,1048.98291015625
23,1041.28759765625
24,1035.6072998046875
